,Year,ppsf_doll_pred,Latitude,Longitude,air
13351,2020,126.7089073010765,43.75,268.75,8.352938750000028
17605,2014,152.83099730880372,33.75,243.75,18.481920000000024
18122,2014,156.07337221139977,36.25,238.75,14.923285000000021
9531,2013,93.28297756821493,36.25,273.75,24.417010000000033
5653,2018,152.49391621049202,33.75,281.25,19.666974333333357
4694,2016,103.42502711497008,36.25,281.25,16.87842166666668
6193,2019,112.72704217587413,33.75,276.25,18.811051666666692
5570,2015,123.57639583970648,33.75,281.25,18.26794888888892
9318,2016,71.21333917785059,33.75,273.75,21.892390000000034
5626,2017,143.90253528212475,33.75,281.25,22.580568888888916
11058,2019,119.05127273254485,41.25,278.75,10.238595666666695
13305,2019,115.57653745688039,43.75,268.75,6.445426666666698
14201,2021,123.32582983649682,41.25,271.25,6.893150000000048
4085,2017,232.15955478888299,38.75,283.75,17.44768500000003
10820,2015,84.21913629279518,41.25,278.75,11.495938333333356
16084,2020,70.2818569203957,36.25,268.75,24.250969999999995
16355,2019,108.82486404334128,36.25,263.75,9.708186666666696
16382,2020,147.9592111247842,36.25,263.75,15.582684999999998
10511,2020,132.06034270322658,36.25,276.25,13.745142500000028
16792,2012,126.28011907560435,43.75,243.75,14.128911000000016
5993,2015,73.86047553046919,33.75,276.25,13.156933750000025
14554,2012,47.620446892065374,38.75,266.25,25.306420000000003
14476,2019,133.42690291589832,38.75,268.75,26.734520000000032
10076,2020,158.9972748001366,36.25,273.75,15.050043333333344
9334,2017,87.7937383768854,33.75,273.75,10.292136666666712
12200,2021,141.1696160178266,41.25,266.25,9.348445000000027
17932,2019,202.57997770213888,33.75,243.75,19.249005416666694
10083,2021,160.39423260660908,36.25,273.75,3.620617500000037
15038,2014,88.70182951557,41.25,263.75,8.7052027777778
12854,2021,109.96329890673621,43.75,271.25,-8.197664999999972
18082,2021,234.5224267265895,33.75,243.75,11.607712500000048
10259,2015,87.99162735924752,36.25,276.25,7.175230000000046
6319,2021,126.75801059284117,33.75,276.25,12.115388333333366
14690,2018,100.48511528607565,38.75,266.25,7.777450000000026
11037,2018,109.79688255086342,41.25,278.75,6.54571866666669
13737,2013,33.45215310586655,41.25,271.25,9.1383866666667
14906,2013,76.19164210188664,41.25,263.75,7.396675250000027
9974,2019,145.78925903557723,36.25,273.75,15.594958333333363
14758,2021,122.59067952369085,38.75,266.25,0.6727675000000346
5338,2019,103.08348264083156,36.25,278.75,12.847755000000006
14622,2015,75.56151803306273,38.75,266.25,16.822245000000038
3791,2015,199.8494950181849,38.75,283.75,20.08282166666668
16907,2014,140.1131650720828,43.75,243.75,9.882899166666684
12518,2016,71.50807652596997,43.75,271.25,14.137970000000015
13527,2020,145.5856133682884,46.25,266.25,7.5037433333333565
17259,2019,188.3717665182587,43.75,243.75,8.586405000000033
14515,2020,140.2416686979622,38.75,268.75,18.67417000000004
10751,2014,71.68944806881214,41.25,278.75,7.484233750000016
14598,2014,65.83336234239866,38.75,266.25,21.775935000000004
4778,2018,120.30452082036207,36.25,281.25,24.172830000000033
5816,2012,47.57785510527796,33.75,276.25,16.630392500000028
4534,2021,251.58454209051177,38.75,283.75,6.228525000000047
4609,2013,74.81823751036923,36.25,281.25,16.679196666666666
17103,2016,165.0933251307149,43.75,243.75,9.634419375000022
10533,2021,137.17503711157968,36.25,276.25,4.8139000000000465
5397,2020,131.76636683526885,36.25,278.75,17.000389583333355
3423,2012,167.71017943087472,38.75,283.75,21.109115000000017
12163,2020,144.10117419678465,41.25,266.25,17.280700000000024
13777,2014,41.40867667244695,41.25,271.25,4.627310000000023
10935,2017,107.2210386201628,41.25,278.75,12.206545000000034
11388,2017,55.42363743817735,38.75,276.25,3.6396400000000426
18166,2018,187.77833102726984,36.25,238.75,9.433500000000038
5447,2012,113.90517450966868,33.75,281.25,25.163313750000015
17533,2013,140.5561299297396,33.75,243.75,20.18053300000002
10577,2012,47.78976335514675,41.25,278.75,24.055470000000014
18160,2017,180.64376167934105,36.25,238.75,12.77665333333338
17887,2018,191.7230835229006,33.75,243.75,19.913970000000017
10301,2016,94.6803411209876,36.25,276.25,21.17394500000003
11470,2019,89.86187835913427,38.75,276.25,13.078640000000007
4172,2018,254.26728923781323,38.75,283.75,12.158021666666704
13925,2016,63.14038553781871,41.25,271.25,12.962395000000006
16328,2018,105.61539028575639,36.25,263.75,25.764950000000027
18134,2015,162.09913544277362,36.25,238.75,14.698920000000015
5750,2020,192.76978674626915,33.75,281.25,16.689510000000013
10632,2013,64.85805388323665,41.25,278.75,6.493048333333339
13845,2015,50.86154368924091,41.25,271.25,10.040159444444472
3272,2016,65.93350529990487,43.75,283.75,23.149069999999995
14324,2015,86.00621617403486,38.75,268.75,15.455070000000035
10461,2019,127.81127538191474,36.25,276.25,17.468821666666674
5540,2014,108.69245986496622,33.75,281.25,19.194150000000025
4819,2019,132.7372487777294,36.25,281.25,22.17470000000003
13956,2017,69.19388815259468,41.25,271.25,6.93556611111115
16157,2013,55.82271906807633,36.25,263.75,14.560294999999996
14662,2017,90.86838158670412,38.75,266.25,8.44991333333337
13418,2021,134.6838033709442,43.75,268.75,-2.294785999999965
10213,2014,76.05445818959586,36.25,276.25,25.242639999999994
6018,2016,82.42305785801892,33.75,276.25,16.349142222222262
14102,2019,91.64999938058479,41.25,271.25,18.636895000000024
12478,2015,56.09526787880275,43.75,271.25,15.118280000000027
5770,2021,193.48224104150944,33.75,281.25,13.141005000000007
3651,2014,179.0282923564355,38.75,283.75,22.561786666666666
5587,2016,133.57689243131082,33.75,281.25,18.11713000000002
9382,2019,98.1716326322588,33.75,273.75,20.851235000000017
13670,2012,24.637630604615968,41.25,271.25,13.508881666666687
14652,2016,82.90805754295364,38.75,266.25,23.774820000000005
16304,2017,96.98837072792367,36.25,263.75,11.486660000000029
16508,2018,106.46938502623678,33.75,263.75,17.31025500000004
13466,2015,93.18013561253557,46.25,266.25,-9.075959999999952
18111,2013,143.7296877253965,36.25,238.75,15.470394999999996
3308,2019,92.86967248137856,43.75,283.75,18.248100000000022
16482,2016,90.23717939778986,33.75,263.75,29.400660000000016
12744,2019,97.16444909407194,43.75,271.25,17.32271000000003
3460,2013,172.12675332633134,38.75,283.75,12.023102500000022
4883,2021,156.60150448585696,36.25,281.25,15.022500000000036
16424,2021,127.98287549608511,36.25,263.75,12.361900000000048
16205,2015,73.3681850823274,36.25,263.75,15.966763333333347
16517,2019,117.67341062092228,33.75,263.75,28.734520000000032
18095,2012,131.8958623561723,36.25,238.75,11.311820000000012
14393,2017,107.48396113814012,38.75,268.75,16.650463333333374
4865,2020,152.98615468669794,36.25,281.25,17.223100000000045
18203,2021,216.806630993657,36.25,238.75,9.989075000000042
5166,2016,80.8145883594513,36.25,278.75,15.493480000000005
5853,2013,52.11493536845249,33.75,276.25,21.228310000000008
3201,2020,160.07544031169613,43.75,286.25,-2.714179999999999
3327,2021,106.36177144249484,43.75,283.75,-4.7173499999999535
13436,2012,72.8571520147301,46.25,266.25,23.492970000000014
14370,2016,121.18807158843279,38.75,268.75,20.61144500000003
14578,2013,57.07834018393385,38.75,266.25,24.337900000000047
13166,2016,89.67755464356777,43.75,268.75,12.230588333333344
16523,2020,120.14150146198264,33.75,263.75,9.1019
5483,2013,120.43587602065853,33.75,281.25,17.259119999999996
4565,2012,73.86055733292645,36.25,281.25,22.87002000000001
13458,2014,88.69125464244337,46.25,266.25,12.639250000000004
11990,2018,114.74326974912329,41.25,266.25,15.07259000000002
12101,2019,88.85675668683292,41.25,266.25,9.350400000000036
5426,2021,125.8604218781344,36.25,278.75,3.2826500000000465
16268,2016,87.66269818683327,36.25,263.75,13.30636000000004
18178,2019,197.35110109745543,36.25,238.75,9.488520000000051
11367,2016,51.64106255374715,38.75,276.25,22.71362000000005
