,Weekday,Month,DateDelta,Zip,Latitude,Longitude,air,precip,ppsf_doll,ppsf_doll_pred,Date,Year
1498,-0.7818314824680299,0.49999999999999994,1796.0,10589,41.25,286.25,1.8271400000000426,2.53,266.0,252.1,2017-01-01,2017
15924,-0.7818314824680299,-0.5000000000000004,3196.0,68130,41.25,263.75,7.020440000000008,1.36,117.0,115.4,2020-11-01,2020
5736,-0.433883739117558,0.5000000000000003,3012.0,29566,33.75,281.25,20.34548000000001,4.92,130.0,123.1,2020-05-01,2020
17638,0.43388373911755823,0.49999999999999994,1065.0,92203,33.75,243.75,11.517800000000022,0.05,144.0,139.2,2015-01-01,2015
18061,-0.7818314824680299,-0.5000000000000004,3196.0,92236,33.75,243.75,13.36420000000004,0.16,173.0,168.0,2020-11-01,2020
7315,0.9749279121818236,0.8660254037844387,1155.0,32701,28.75,278.75,24.955070000000035,3.1,69.0,75.5,2015-04-01,2015
15438,0.9749279121818236,1.0,1855.0,68116,41.25,263.75,5.863730000000032,1.7,103.0,100.8,2017-03-01,2017
17633,0.0,-2.4492935982947064e-16,1034.0,92210,33.75,243.75,10.84838000000002,0.86,214.0,219.3,2014-12-01,2014
14831,0.9749279121818236,-0.8660254037844385,182.0,68064,41.25,263.75,23.431420000000003,1.67,95.0,101.8,2012-08-01,2012
17393,-0.7818314824680299,-0.5000000000000004,3196.0,83703,43.75,243.75,2.957940000000008,1.47,272.0,258.3,2020-11-01,2020
15193,-0.433883739117558,0.5000000000000003,1185.0,68022,41.25,263.75,15.846500000000049,4.48,113.0,110.2,2015-05-01,2015
18315,0.9749279121818236,-0.8660254037844385,182.0,95621,38.75,238.75,24.962670000000003,0.01,104.0,113.8,2012-08-01,2012
4880,0.0,1.0,3316.0,27581,36.25,281.25,11.455650000000048,2.27,156.0,159.5,2021-03-01,2021
17108,0.7818314824680298,-0.5000000000000004,1735.0,83714,43.75,243.75,6.212600000000009,0.48,143.0,143.9,2016-11-01,2016
9993,-0.433883739117558,-0.5000000000000004,2830.0,37087,36.25,273.75,7.257400000000018,4.17,144.0,146.9,2019-11-01,2019
2637,-0.7818314824680299,-0.5000000000000004,3196.0,10540,41.25,286.25,8.770440000000008,3.32,251.0,261.5,2020-11-01,2020
8903,-0.433883739117558,0.5000000000000003,3012.0,32708,28.75,278.75,24.93923000000001,3.47,162.0,162.3,2020-05-01,2020
18381,0.43388373911755823,-0.5000000000000004,274.0,95841,38.75,238.75,13.036220000000014,4.08,92.0,86.9,2012-11-01,2012
5935,0.9749279121818236,-0.866025403784439,973.0,30655,33.75,276.25,18.60372000000001,2.55,77.0,74.2,2014-10-01,2014
17271,-0.433883739117558,1.0,2585.0,83616,43.75,243.75,4.082270000000051,0.99,177.0,179.5,2019-03-01,2019
5668,-0.433883739117558,1.2246467991473532e-16,2312.0,29572,33.75,281.25,27.044640000000015,3.37,163.0,162.2,2018-06-01,2018
5829,0.7818314824680298,0.49999999999999994,335.0,30054,33.75,276.25,10.4375,3.61,56.0,50.8,2013-01-01,2013
18892,0.9749279121818236,0.8660254037844387,1155.0,95628,38.75,238.75,16.798820000000035,1.09,188.0,181.9,2015-04-01,2015
19239,0.7818314824680298,-0.5000000000000004,1735.0,95663,38.75,238.75,13.587600000000009,1.98,275.0,250.9,2016-11-01,2016
5916,-0.7818314824680299,1.2246467991473532e-16,851.0,30656,33.75,276.25,25.805139999999994,2.83,73.0,70.8,2014-06-01,2014
17723,0.7818314824680298,1.0,1490.0,92210,33.75,243.75,13.83218000000005,0.3,225.0,224.6,2016-03-01,2016
17277,0.0,0.8660254037844387,2616.0,83616,43.75,243.75,10.078640000000007,1.72,177.0,179.5,2019-04-01,2019
15175,-0.7818314824680299,1.0,1124.0,68118,41.25,263.75,5.700160000000039,0.48,77.0,83.2,2015-03-01,2015
15025,0.9749279121818236,0.49999999999999994,700.0,68138,41.25,263.75,-5.691499999999962,0.05,84.0,80.8,2014-01-01,2014
18866,-0.7818314824680299,0.8660254037844386,1096.0,95765,38.75,238.75,13.630359999999996,1.53,177.0,180.2,2015-02-01,2015
17637,0.43388373911755823,0.49999999999999994,1065.0,92201,33.75,243.75,11.517800000000022,0.05,134.0,134.8,2015-01-01,2015
4842,-0.7818314824680299,1.0,2951.0,27503,36.25,281.25,13.334500000000048,2.0,115.0,131.8,2020-03-01,2020
18472,0.0,0.8660254037844387,425.0,95842,38.75,238.75,17.477869999999996,0.38,100.0,101.0,2013-04-01,2013
9548,0.43388373911755823,-0.8660254037844385,547.0,37090,36.25,273.75,24.619169999999997,3.21,100.0,100.4,2013-08-01,2013
19958,-0.7818314824680299,1.0,2951.0,95662,38.75,238.75,12.334500000000048,1.77,259.0,259.7,2020-03-01,2020
5664,0.7818314824680298,0.5000000000000003,2281.0,29566,33.75,281.25,24.01977000000005,5.16,108.0,111.1,2018-05-01,2018
8296,0.7818314824680298,0.5000000000000003,2281.0,32730,28.75,278.75,24.83227000000005,7.0,125.0,127.4,2018-05-01,2018
15670,-0.9749279121818236,-2.4492935982947064e-16,2495.0,68118,41.25,263.75,-1.1954399999999623,2.07,108.0,97.3,2018-12-01,2018
1868,-0.7818314824680299,0.8660254037844387,2251.0,10562,41.25,286.25,7.474500000000035,3.06,234.0,249.3,2018-04-01,2018
3308,0.0,-0.4999999999999997,2707.0,13145,43.75,283.75,23.390770000000032,1.94,99.0,59.9,2019-07-01,2019
8845,-0.9749279121818236,0.8660254037844386,2922.0,32751,28.75,278.75,18.44344000000001,1.78,171.0,166.1,2020-02-01,2020
9722,-0.433883739117558,0.49999999999999994,1430.0,37090,36.25,273.75,2.5621000000000436,2.19,110.0,114.2,2016-01-01,2016
10153,-0.433883739117558,1.0,394.0,37721,36.25,276.25,6.526640000000043,4.03,87.0,85.0,2013-03-01,2013
19553,-0.7818314824680299,0.8660254037844387,2251.0,95843,38.75,238.75,16.224500000000035,1.82,214.0,210.3,2018-04-01,2018
17652,-0.7818314824680299,1.0,1124.0,92211,33.75,243.75,16.07516000000004,0.49,179.0,176.5,2015-03-01,2015
2713,0.0,0.8660254037844386,3288.0,10541,41.25,286.25,-1.1548499999999535,3.09,223.0,240.6,2021-02-01,2021
15871,0.0,1.2246467991473532e-16,3043.0,68136,41.25,263.75,25.000969999999995,1.95,131.0,127.3,2020-06-01,2020
17975,-0.7818314824680299,-1.0,2769.0,92210,33.75,243.75,24.196470000000033,0.24,246.0,274.9,2019-09-01,2019
9524,0.0,0.8660254037844387,425.0,37090,36.25,273.75,14.540369999999996,5.52,101.0,85.3,2013-04-01,2013
14742,0.0,1.2246467991473532e-16,3043.0,64093,38.75,266.25,24.813469999999995,2.99,99.0,102.2,2020-06-01,2020
13811,0.0,-1.0,943.0,61350,41.25,271.25,18.152980000000014,2.57,81.0,76.3,2014-09-01,2014
17671,0.0,1.2246467991473532e-16,1216.0,92236,33.75,243.75,24.479520000000036,0.05,119.0,119.9,2015-06-01,2015
19967,-0.7818314824680299,1.0,2951.0,95843,38.75,238.75,12.334500000000048,1.77,230.0,231.8,2020-03-01,2020
6452,-0.433883739117558,1.2246467991473532e-16,121.0,32750,28.75,278.75,26.40127000000001,9.55,76.0,85.4,2012-06-01,2012
